airline_name,sum,count,rate,ci_low,ci_high,p,p_adj,differs_from_average
Firefly,45,74,0.6081081081081081,0.4941951930412878,0.7113508006027369,7.130024942307343e-06,2.3576615809229614e-05,True
Croatia Airlines,54,86,0.627906976744186,0.5223383164148251,0.7225374935818455,1.740838841195483e-07,8.465255541499604e-07,True
Monarch Airlines,61,97,0.6288659793814433,0.5295376612248861,0.7183762453405913,2.466261966817595e-08,1.3013467399377947e-07,True
Japan Airlines,63,100,0.63,0.5322052958094291,0.7181763946567546,1.2289680779046106e-08,7.088001937682405e-08,True
Rossiya Airlines,26,41,0.6341463414634146,0.4812070108791201,0.7641016898031056,0.00023178003204621858,0.0005372097939015159,True
Blue Islands,28,44,0.6363636363636364,0.48866376879043427,0.7621647029117982,0.00018166483839644927,0.00042907504687923255,True
Volotea,64,100,0.64,0.5423540245160874,0.7272877959859567,5.014741942812496e-09,3.0333073215060955e-08,True
Qatar Airways,64,100,0.64,0.5423540245160874,0.7272877959859567,5.014741942812496e-09,3.0333073215060955e-08,True
Aircalin,20,31,0.6451612903225806,0.4694795406436887,0.788833409061346,0.001002654451535389,0.002107273762548953,True
Vistara,67,100,0.67,0.5730534379509052,0.7543687726587197,1.2078671283521095e-10,1.1521194147358582e-09,True
Asiana Airlines,69,100,0.69,0.5937394428051057,0.7722030278762395,5.2210681892150304e-12,5.629673525762294e-11,True
Royal Brunei Airlines,69,100,0.69,0.5937394428051057,0.7722030278762395,5.2210681892150304e-12,5.629673525762294e-11,True
Nepal Airlines,23,33,0.696969696969697,0.5266186485419944,0.8262446857594641,6.345650395874736e-05,0.0001656548734923089,True
Titan Airways,21,30,0.7,0.5212421254128503,0.833352517317562,0.00014057647881886293,0.00033847540531143695,True
Thai Smile Airways,70,100,0.7,0.6041514536665332,0.7810511470506724,1.826569155515291e-12,2.2649457528389605e-11,True
Azerbaijan Airlines,40,57,0.7017543859649122,0.5733571989653998,0.8046744992518191,7.648992254805673e-08,3.793900158383614e-07,True
Air Astana,72,100,0.72,0.6251197129007884,0.7986031478881379,5.5431396374784457e-14,9.164657533964363e-13,True
Bangkok Airways,72,100,0.72,0.6251197129007884,0.7986031478881379,5.5431396374784457e-14,9.164657533964363e-13,True
Olympic Air,66,91,0.7252747252747253,0.6258521771107707,0.80644821672347,5.189247795107818e-13,7.570196783451405e-12,True
Garuda Indonesia,73,100,0.73,0.6356788323205499,0.8073041585042365,1.5747125429713603e-14,3.2544059221408117e-13,True
S7 Siberia Airlines,47,63,0.746031746031746,0.6265881256339354,0.8371958872667884,2.1914680804389915e-10,2.012904014625444e-09,True
Citilink,45,60,0.75,0.6276792992295218,0.8422347746994333,4.969031180208599e-10,4.145390219669167e-09,True
Dragonair,72,95,0.7578947368421053,0.6628317922510378,0.8329115990812341,6.284701917643276e-16,1.673683852717691e-14,True
Rex Airlines,39,51,0.7647058823529411,0.632377748398347,0.8599505116553716,1.9939573055472994e-09,1.3736150327103616e-08,True
